comments_count,replies_count,both_count,sentence_count,word_count,basic_emotions,basic emotions_fear,basic_emotions_anger,basic_emotions_sadness,basic_emotions_joy,basic_emotions_surprise_interest,basic_emotions_disgust,emotions_of_social_evaluation,emotions_of_social_evaluation_contempt,emotions_of_social_evaluation_shame,emotions_of_social_evaluation_guilt,emotions_of_social_evaluation_embarrassment,emotions_of_social_evaluation_pride,emotions_of_social_evaluation_envy,state,state_excited,state_rest,state_estimate,state_process_execution,target
1259,553,1812,2075,19023,387,70,19,80,104,36,78,19,2,2,6,4,5,0,172,12,148,0,12,0
395,461,856,739,7309,101,8,7,20,20,7,39,11,5,3,1,0,1,1,90,7,80,0,3,2
10,0,10,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
48,72,120,67,899,13,0,0,2,2,2,7,0,0,0,0,0,0,0,2,0,2,0,0,2
183,187,370,328,2972,48,7,4,9,7,3,18,4,0,1,0,0,3,0,28,2,22,0,4,2
510,204,714,669,4508,84,2,4,3,67,6,2,0,0,0,0,0,0,0,40,2,22,0,16,1
1001,470,1471,1696,11135,248,7,6,33,151,16,35,6,2,1,0,3,0,0,121,17,96,0,8,1
17,50,67,51,469,11,0,0,1,2,2,6,1,0,1,0,0,0,0,1,0,1,0,0,1
33,0,33,41,268,8,0,0,2,4,2,0,0,0,0,0,0,0,0,3,2,1,0,0,1
2498,2953,5451,4308,44991,705,43,88,99,178,93,204,58,18,12,6,6,14,2,379,74,288,0,17,2
130,170,300,195,1867,40,2,2,6,12,7,11,2,0,2,0,0,0,0,18,0,16,0,2,2
1321,890,2211,2377,23132,309,49,12,67,82,21,78,35,18,5,7,1,3,1,180,21,150,0,9,0
37,0,37,83,815,10,0,0,0,7,1,2,1,0,1,0,0,0,0,6,1,5,0,0,1
589,152,741,973,6935,143,7,5,28,74,11,18,2,0,0,0,2,0,0,58,5,51,1,1,1
284,251,535,353,2257,39,1,4,4,27,2,1,0,0,0,0,0,0,0,7,0,6,0,1,1
485,252,737,818,6894,107,5,1,4,61,15,21,5,2,0,2,0,0,1,52,6,36,1,9,1
97,173,270,188,2261,44,4,1,19,7,1,12,6,0,0,5,0,1,0,12,2,10,0,0,2
1463,420,1883,2273,16055,354,10,6,20,229,23,66,3,1,0,2,0,0,0,180,14,128,2,36,1
134,167,301,273,2905,53,0,3,16,16,2,16,5,1,3,0,1,0,0,23,3,15,1,4,2
130,65,195,177,1675,26,1,2,2,5,9,7,3,2,0,0,0,0,1,10,1,8,0,1,1
521,139,660,617,6003,51,2,2,15,26,0,6,0,0,0,0,0,0,0,26,0,25,0,1,1
356,335,691,649,7089,105,9,4,17,27,22,26,5,1,2,1,1,0,0,62,5,54,1,2,0
66,8,74,110,939,15,1,4,1,5,2,2,1,1,0,0,0,0,0,11,2,9,0,0,2
10,0,10,17,122,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
7,11,18,13,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,6,11,8,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,2,2
35,42,77,55,468,5,0,0,0,2,1,2,0,0,0,0,0,0,0,5,0,5,0,0,2
726,181,907,836,6297,143,4,6,7,111,8,7,1,0,0,0,0,0,1,59,2,49,0,8,1
53,0,53,86,581,17,1,0,1,10,3,2,0,0,0,0,0,0,0,10,0,9,0,1,1
55,21,76,91,656,7,0,0,0,2,1,4,1,1,0,0,0,0,0,3,0,3,0,0,2
105,59,164,301,3345,36,2,4,5,3,2,20,3,2,1,0,0,0,0,37,2,31,0,4,0
59,10,69,106,617,14,0,2,0,11,0,1,0,0,0,0,0,0,0,7,0,6,0,1,1
29,22,51,98,680,15,0,1,3,3,2,6,0,0,0,0,0,0,0,6,1,4,0,1,2
387,258,645,657,4227,71,0,2,17,41,5,6,3,0,0,0,0,2,1,46,4,39,1,2,1
98,80,178,169,1382,38,0,4,7,14,3,10,2,0,0,1,0,1,0,6,0,5,0,1,2
71,10,81,158,1638,28,3,4,7,3,2,9,3,0,0,3,0,0,0,12,0,10,0,2,2
553,83,636,825,5567,92,8,6,9,38,16,15,11,2,2,1,4,1,1,49,7,38,0,4,0
86,12,98,110,876,11,0,0,2,6,2,1,0,0,0,0,0,0,0,3,0,3,0,0,1
40,6,46,54,527,9,0,0,4,4,0,1,3,0,0,1,0,1,1,10,6,4,0,0,2
24,0,24,22,236,8,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
360,110,470,295,2600,15,0,0,6,6,0,3,0,0,0,0,0,0,0,11,0,10,0,1,1
38,6,44,53,435,10,0,0,0,5,2,3,0,0,0,0,0,0,0,2,0,2,0,0,1
1813,581,2394,2980,27479,633,17,36,135,252,87,106,22,6,9,0,4,1,2,190,30,142,0,18,1
403,248,651,755,7329,90,8,8,12,20,11,31,6,2,0,1,2,1,0,83,11,70,0,2,0
10,0,10,16,91,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
131,96,227,223,1896,46,2,1,6,11,10,16,0,0,0,0,0,0,0,11,2,8,0,1,1
35,0,35,64,910,16,1,1,4,3,0,7,1,1,0,0,0,0,0,5,1,4,0,0,2
69,23,92,331,3494,69,11,7,11,13,4,23,14,9,4,1,0,0,0,23,2,21,0,0,2
1194,346,1540,1906,16758,280,48,14,54,60,22,82,17,5,3,2,4,3,0,144,7,126,0,11,0
153,60,213,172,1512,30,0,0,2,24,1,3,0,0,0,0,0,0,0,18,2,16,0,0,1
10,0,10,18,199,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
219,43,262,351,2376,58,5,1,9,27,3,13,8,0,5,0,1,0,2,9,0,8,0,1,1
1456,390,1846,2232,18965,300,6,22,22,138,30,82,11,4,1,1,4,0,1,130,9,106,5,10,1
12,0,12,16,91,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2783,1744,4527,4572,39969,631,66,83,112,165,68,137,45,13,9,10,6,7,0,352,53,283,1,15,0
1639,100,1739,3049,20234,692,12,5,31,544,10,90,4,2,0,1,0,0,1,287,7,260,1,19,1
25,11,36,52,738,6,0,2,3,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,2
1811,2482,4293,3324,35087,501,33,44,97,96,70,161,65,26,17,9,2,9,2,239,33,194,0,12,2
134,82,216,201,2091,66,8,3,12,20,2,21,1,0,0,0,0,0,1,25,9,16,0,0,2
40,14,54,132,1836,17,4,2,2,1,0,8,0,0,0,0,0,0,0,9,4,5,0,0,2
15,0,15,35,388,11,1,3,1,3,0,3,0,0,0,0,0,0,0,3,2,1,0,0,1
35,25,60,64,551,8,0,1,0,3,0,4,0,0,0,0,0,0,0,3,0,3,0,0,2
538,332,870,897,8058,121,8,9,17,40,8,39,19,3,5,5,3,3,0,72,5,66,0,1,2
73,58,131,93,830,7,2,2,1,1,1,0,3,2,0,0,0,1,0,11,1,8,2,0,2
84,23,107,71,750,7,0,0,1,1,2,3,0,0,0,0,0,0,0,10,0,10,0,0,1
28,11,39,47,449,7,1,0,1,1,0,4,2,2,0,0,0,0,0,8,0,8,0,0,2
496,286,782,824,7594,166,8,7,19,78,15,39,3,0,1,2,0,0,0,64,6,45,1,12,1
70,0,70,177,2109,30,0,7,7,7,2,7,1,0,0,0,1,0,0,12,2,10,0,0,2
309,325,634,690,7901,107,3,11,21,22,10,40,8,4,1,3,0,0,0,47,9,35,0,3,2
33,21,54,55,607,10,2,1,0,4,0,3,0,0,0,0,0,0,0,4,0,4,0,0,2
11,6,17,78,1557,30,2,0,1,2,2,23,1,0,0,0,1,0,0,13,1,9,0,3,2
212,37,249,242,1828,20,1,1,2,8,4,4,0,0,0,0,0,0,0,15,0,12,0,3,1
186,182,368,371,4787,66,4,5,8,16,3,30,4,1,0,1,0,1,1,48,1,44,0,3,2
71,44,115,131,1293,29,1,1,5,13,1,8,8,6,0,1,0,1,0,9,2,7,0,0,2
4746,750,5496,8135,60322,1385,33,29,125,936,54,208,36,5,4,5,2,3,17,722,29,576,1,116,1
26827,11197,38024,39860,355427,7742,628,849,1238,1515,925,2587,911,166,178,370,37,54,106,3100,291,2662,4,143,0
15,0,15,108,939,30,0,1,2,3,3,21,0,0,0,0,0,0,0,5,0,5,0,0,2
15,0,15,15,174,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,27,44,340,13,3,2,1,3,3,1,0,0,0,0,0,0,0,2,2,0,0,0,1
72,89,161,136,962,18,3,0,1,8,3,3,0,0,0,0,0,0,0,9,2,7,0,0,1
486,195,681,592,4566,94,0,3,4,73,5,9,0,0,0,0,0,0,0,30,0,25,0,5,1
1022,423,1445,1743,12959,284,4,11,26,189,16,38,11,0,0,1,2,0,8,167,6,137,1,23,1
2565,1174,3739,4847,45371,731,32,36,88,254,126,195,36,9,3,16,4,3,1,357,40,293,3,21,0
41,0,41,59,272,3,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,3,0,0,1
1927,791,2718,3398,24352,453,17,18,53,300,22,43,4,1,0,0,2,0,1,254,13,202,13,26,1
13,6,19,40,681,11,1,0,0,2,6,2,3,0,0,1,0,2,0,3,0,3,0,0,2
70,147,217,249,2610,23,3,2,2,4,1,11,2,0,0,0,0,1,1,21,2,18,0,1,2
308,125,433,456,4462,75,9,1,10,35,5,15,3,1,0,0,0,0,2,50,1,43,0,6,1
94,35,129,173,2532,34,1,2,0,7,2,22,1,0,0,0,1,0,0,26,1,21,0,4,2
625,166,791,790,5577,98,0,1,8,80,1,8,2,0,0,0,0,2,0,64,2,56,0,6,1
81,6,87,86,619,9,0,3,1,3,0,2,0,0,0,0,0,0,0,5,0,5,0,0,1
25,0,25,27,152,6,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
693,59,752,1348,9370,406,3,0,6,370,9,18,1,1,0,0,0,0,0,160,0,156,0,4,1
1382,923,2305,2134,18664,346,11,16,40,167,58,54,11,0,0,4,4,1,2,151,18,119,2,12,1
311,18,329,618,4619,128,1,0,13,100,2,12,0,0,0,0,0,0,0,59,0,57,0,2,1
411,288,699,726,5848,118,1,1,11,53,19,33,6,0,2,0,4,0,0,48,3,36,1,8,1
53,32,85,97,934,10,1,2,1,2,0,4,3,0,0,1,0,2,0,4,0,3,0,1,2
231,232,463,572,4832,80,7,10,16,15,6,26,10,1,4,1,0,4,0,47,8,37,1,1,2
21266,18067,39333,36955,330945,5871,576,314,1563,1868,441,1109,647,186,115,164,21,141,20,3123,309,2693,4,117,0
241,276,517,518,7634,101,6,11,19,20,14,31,8,2,2,2,1,1,0,62,13,47,0,2,2
45,0,45,70,552,9,0,0,1,4,3,1,0,0,0,0,0,0,0,8,2,4,0,2,1
33,12,45,64,620,10,1,3,0,3,1,2,1,0,0,1,0,0,0,3,0,3,0,0,1
10,34,44,20,365,4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
344,318,662,751,8040,120,7,20,13,38,19,23,17,6,1,6,1,2,1,67,8,56,0,3,2
291,126,417,507,4372,53,3,2,3,12,15,18,1,0,0,1,0,0,0,31,3,27,0,1,0
143,95,238,257,2471,51,3,2,16,7,6,17,4,0,3,0,0,0,1,22,1,20,0,1,2
71,0,71,110,1008,16,0,1,1,10,3,1,0,0,0,0,0,0,0,6,0,5,0,1,1
350,215,565,414,2762,35,0,4,1,25,3,2,2,0,1,0,0,1,0,21,2,16,0,3,1
61,6,67,127,1227,35,3,0,17,8,2,5,0,0,0,0,0,0,0,9,3,5,0,1,2
168,64,232,261,2502,43,3,4,11,16,5,4,0,0,0,0,0,0,0,25,7,17,0,1,2
16,0,16,26,239,7,0,0,2,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,2
404,250,654,745,7679,96,9,13,10,29,11,24,10,3,2,1,1,3,0,61,6,52,1,2,2
2968,1140,4108,5740,45755,956,29,52,100,506,86,183,31,11,0,1,8,2,9,454,49,352,4,49,1
143,36,179,264,2348,52,1,7,15,9,10,10,1,0,0,0,0,1,0,21,2,17,0,2,0
37,6,43,85,766,17,0,0,2,5,3,7,0,0,0,0,0,0,0,5,0,5,0,0,1
10,0,10,11,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
16,0,16,30,152,7,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
443,359,802,948,10500,137,9,11,18,35,22,42,8,4,1,1,2,0,0,83,2,80,0,1,0
366,453,819,829,10421,125,5,7,28,34,29,22,16,7,3,3,2,1,0,92,7,78,0,7,2
212,63,275,332,2462,38,1,2,1,16,13,5,4,0,0,0,4,0,0,23,5,15,1,2,1
29,0,29,48,440,9,0,0,1,2,4,2,1,0,0,0,1,0,0,4,1,3,0,0,1
184,397,581,468,5639,85,11,9,6,22,10,27,2,0,0,0,0,0,2,51,12,38,0,1,2
15,0,15,25,230,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
333,99,432,400,3469,47,0,4,31,10,1,1,0,0,0,0,0,0,0,12,2,8,0,2,1
46,0,46,59,396,12,0,0,0,8,4,0,0,0,0,0,0,0,0,3,0,2,0,1,1
230,162,392,365,2710,77,6,0,12,42,10,7,0,0,0,0,0,0,0,38,2,35,0,1,1
221,286,507,562,5969,92,7,4,19,24,7,31,1,0,0,0,0,0,1,38,3,35,0,0,2
60,31,91,87,726,7,2,0,0,1,1,3,3,0,0,0,0,3,0,6,0,5,0,1,2
412,158,570,455,3600,31,1,1,10,13,3,3,0,0,0,0,0,0,0,18,2,16,0,0,1
169,242,411,306,3144,56,5,6,5,7,5,28,10,5,3,1,0,0,1,19,8,10,0,1,2
1725,931,2656,3103,26262,532,15,21,125,244,63,64,9,2,2,1,3,0,1,204,17,145,0,42,1
10,19,29,62,446,14,1,1,3,4,0,5,8,0,1,5,1,1,0,2,0,2,0,0,2
897,174,1071,815,4800,43,0,0,0,31,4,8,0,0,0,0,0,0,0,8,0,7,0,1,1
92,20,112,167,1564,32,2,0,4,15,7,4,2,2,0,0,0,0,0,7,0,7,0,0,0
69,0,69,84,597,7,1,0,0,4,0,2,0,0,0,0,0,0,0,9,1,7,0,1,1
240,36,276,434,3636,142,3,0,7,123,2,7,0,0,0,0,0,0,0,48,0,43,0,5,1
130,18,148,144,1099,15,0,0,1,11,1,2,0,0,0,0,0,0,0,6,0,6,0,0,1
11,0,11,15,116,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2
516,263,779,697,6973,104,6,11,20,30,13,24,10,2,4,4,0,0,0,72,13,57,1,1,2
242,238,480,335,3570,49,3,1,7,13,9,16,10,7,0,1,0,2,0,29,10,16,1,2,2
344,478,822,1009,11254,189,26,10,48,37,14,54,17,3,3,4,2,3,2,93,9,76,0,8,2
13,0,13,17,138,8,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,75,104,58,712,14,1,2,4,2,0,5,0,0,0,0,0,0,0,2,0,2,0,0,2
614,303,917,552,4240,54,2,3,10,27,3,9,0,0,0,0,0,0,0,30,12,18,0,0,1
75,6,81,88,796,16,1,4,2,2,3,4,4,4,0,0,0,0,0,6,1,5,0,0,2
375,329,704,434,3126,45,2,3,1,33,4,2,0,0,0,0,0,0,0,22,0,13,0,9,1
272,494,766,657,7970,164,13,32,13,39,30,37,14,1,3,1,0,2,7,67,7,58,1,1,2
24,0,24,31,228,7,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
114,69,183,185,1920,24,8,1,1,6,2,6,1,0,0,0,0,1,0,22,0,19,1,2,0
71,0,71,123,749,13,0,0,1,6,0,6,3,0,1,0,2,0,0,10,2,7,0,1,1
72,51,123,110,1074,23,2,3,5,2,0,11,1,0,1,0,0,0,0,7,4,3,0,0,2
418,304,722,1103,11002,184,11,16,39,47,11,60,22,12,5,1,0,2,2,131,19,106,0,6,2
4475,2060,6535,7762,83022,1422,232,149,273,334,96,338,113,26,27,27,6,24,3,868,161,675,1,31,0
178,145,323,400,4540,67,7,5,4,20,10,21,2,2,0,0,0,0,0,40,6,32,0,2,2
8,0,8,10,118,5,0,1,0,0,0,4,1,0,0,0,0,0,1,1,0,1,0,0,2
29,0,29,47,427,12,0,0,0,5,7,0,0,0,0,0,0,0,0,1,0,1,0,0,1
98,53,151,177,1905,28,2,2,1,7,11,5,2,0,0,1,0,1,0,11,0,10,0,1,1
1379,1516,2895,3631,41382,616,44,90,105,109,78,190,95,50,21,11,8,5,0,326,58,256,3,9,2
588,303,891,1116,10127,169,8,16,28,38,18,61,27,7,11,6,0,2,1,75,19,53,0,3,2
9,6,15,14,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
117,21,138,160,1402,27,1,0,2,11,6,7,0,0,0,0,0,0,0,14,2,8,2,2,1
124,59,183,220,2117,39,4,4,5,18,4,4,1,0,0,1,0,0,0,17,3,11,0,3,2
102,1,103,135,866,24,0,1,1,16,4,2,0,0,0,0,0,0,0,13,1,10,1,1,1
268,305,573,443,4090,68,3,1,8,18,11,27,5,0,2,1,1,1,0,68,2,63,0,3,2
22,0,22,49,487,14,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,22,158,312,2912,87,4,3,8,60,1,11,1,0,0,0,0,0,1,55,1,51,0,3,1
760,1108,1868,1218,11674,177,12,9,39,37,11,69,63,40,11,6,0,5,1,103,14,83,1,5,2
1102,375,1477,1950,12748,294,5,15,68,136,35,35,3,0,0,3,0,0,0,123,3,102,2,16,1
276,112,388,251,1819,38,0,3,3,28,1,3,1,0,0,1,0,0,0,10,0,9,0,1,1
167,62,229,221,1674,34,1,0,4,17,7,5,0,0,0,0,0,0,0,20,1,15,0,4,1
520,223,743,992,10092,154,13,10,21,59,20,31,4,1,2,1,0,0,0,105,19,69,2,15,0
241,72,313,283,2598,22,0,2,2,14,0,4,0,0,0,0,0,0,0,17,4,13,0,0,1
293,343,636,573,6249,83,1,11,12,19,5,35,4,2,2,0,0,0,0,54,14,35,0,5,2
295,154,449,480,4851,89,27,6,11,26,6,13,4,3,0,0,0,1,0,46,0,45,0,1,0
1653,1930,3583,3303,29350,552,45,32,182,162,32,99,16,2,2,3,4,5,0,318,23,277,0,18,0
13,0,13,33,362,11,0,2,6,2,0,1,1,1,0,0,0,0,0,4,4,0,0,0,2
24,0,24,54,405,9,0,0,2,4,1,2,0,0,0,0,0,0,0,3,0,3,0,0,1
1704,596,2300,2619,22123,489,28,19,66,196,82,98,10,0,0,0,2,1,7,197,15,159,0,23,1
11,0,11,15,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1
423,281,704,892,9394,183,34,16,30,49,14,40,12,6,3,0,0,2,1,84,4,75,0,5,2
156,338,494,417,4959,65,7,7,16,15,8,12,8,6,2,0,0,0,0,36,5,30,0,1,2
2062,1476,3538,3708,33536,636,20,30,93,295,84,114,17,2,8,2,5,0,0,264,28,207,4,25,1
232,399,631,512,6259,94,15,14,17,13,6,29,11,6,3,1,0,1,0,58,12,44,0,2,2
25,0,25,81,596,6,0,0,1,2,1,2,1,0,1,0,0,0,0,1,0,1,0,0,2
75,0,75,120,872,14,0,2,1,11,0,0,0,0,0,0,0,0,0,10,2,7,0,1,1
10,0,10,13,190,3,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2
349,125,474,540,5483,89,8,4,11,23,10,33,0,0,0,0,0,0,0,42,5,33,0,4,0
8,0,8,15,161,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
526,305,831,766,6696,127,15,8,41,23,11,29,9,0,7,1,1,0,0,46,9,34,0,3,2
85,0,85,145,915,17,0,0,1,14,0,2,0,0,0,0,0,0,0,8,0,7,1,0,1
43,19,62,85,857,17,1,2,1,3,7,3,1,0,0,1,0,0,0,3,0,3,0,0,1
342,277,619,529,5082,104,8,8,18,28,17,25,12,4,3,1,2,2,0,48,12,35,0,1,2
63,25,88,129,1474,12,3,0,1,2,2,4,0,0,0,0,0,0,0,16,2,13,0,1,2
68,34,102,129,1531,41,2,0,7,7,8,17,1,0,0,1,0,0,0,19,9,8,0,2,2
66,16,82,102,1240,23,1,3,3,6,2,8,3,0,0,0,0,3,0,10,0,10,0,0,2
143,300,443,208,2345,58,8,7,12,14,4,13,1,0,0,1,0,0,0,32,0,31,0,1,2
719,254,973,852,6134,113,1,12,15,68,7,10,0,0,0,0,0,0,0,27,0,21,0,6,1
52,0,52,78,442,10,0,0,0,7,2,1,0,0,0,0,0,0,0,4,0,3,0,1,1
1446,301,1747,2144,20868,455,15,22,107,196,36,79,27,0,19,0,7,1,0,120,15,95,0,10,1
52,0,52,80,515,12,0,0,3,6,1,2,0,0,0,0,0,0,0,6,0,6,0,0,1
15,0,15,83,1259,8,0,0,3,0,2,3,4,0,0,4,0,0,0,2,0,2,0,0,2
2665,756,3421,4591,44825,1292,48,124,289,502,102,227,62,6,43,5,5,2,1,309,42,247,0,20,1
20,0,20,37,325,9,2,1,0,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1
180,152,332,334,2983,49,5,3,6,20,8,7,3,0,0,2,0,0,1,32,1,29,0,2,2
26,13,39,29,272,5,0,0,0,3,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1
44,0,44,56,414,7,0,0,1,4,0,2,0,0,0,0,0,0,0,3,0,2,0,1,1
772,711,1483,1476,14201,212,16,23,36,65,11,61,23,5,4,3,2,8,1,130,24,104,0,2,2
73,0,73,127,1233,39,2,0,16,15,4,2,2,0,0,0,2,0,0,16,1,12,1,2,1
83,54,137,189,2814,40,0,0,4,11,2,23,0,0,0,0,0,0,0,19,2,15,0,2,1
822,643,1465,1217,10657,193,15,11,37,58,18,54,31,8,16,1,2,1,3,74,17,57,0,0,2
279,320,599,506,4431,95,2,10,12,32,3,36,6,1,0,0,0,3,2,54,1,49,0,4,2
209,31,240,417,4108,99,4,1,13,61,8,12,0,0,0,0,0,0,0,45,6,29,0,10,1
54,0,54,87,627,17,0,0,2,14,0,1,0,0,0,0,0,0,0,7,0,7,0,0,1
1171,1136,2307,2213,24393,338,25,32,61,68,66,86,27,8,3,4,2,9,1,188,16,167,0,5,2
23,0,23,33,210,5,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
12,0,12,14,96,4,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2
48,125,173,86,840,10,0,0,0,5,2,3,0,0,0,0,0,0,0,4,3,1,0,0,1
65,0,65,99,630,17,0,0,1,12,4,0,0,0,0,0,0,0,0,13,2,10,0,1,1
15,0,15,14,159,6,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0,42,88,868,15,3,1,3,5,0,3,1,0,0,1,0,0,0,10,0,10,0,0,2
88,0,88,133,802,19,0,3,1,9,1,5,1,0,0,0,0,0,1,7,2,5,0,0,1
26,13,39,25,201,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
227,205,432,456,4319,74,11,2,11,20,7,23,7,5,1,0,0,0,1,37,3,34,0,0,2
102,87,189,278,3116,49,3,4,3,4,8,27,2,0,0,0,0,2,0,23,3,16,0,4,2
30,0,30,45,606,10,3,0,0,3,2,2,0,0,0,0,0,0,0,4,0,4,0,0,2
15,0,15,28,245,9,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1396,1431,2827,2306,23014,306,21,13,59,99,36,78,27,16,1,1,4,4,1,196,36,151,1,8,0
107,7,114,221,1457,39,1,0,5,31,1,1,1,0,0,0,1,0,0,19,6,10,1,2,1
69,37,106,113,1275,19,2,2,1,7,0,7,0,0,0,0,0,0,0,17,0,17,0,0,2
66,0,66,120,899,14,0,0,0,10,4,0,0,0,0,0,0,0,0,16,2,14,0,0,1
808,84,892,1477,10573,401,4,10,85,265,6,31,3,2,0,0,0,0,1,152,2,142,0,8,1
22,18,40,89,1104,20,3,1,1,6,2,7,2,0,0,0,0,1,1,12,4,8,0,0,2
25,25,50,53,789,13,0,0,0,5,5,3,0,0,0,0,0,0,0,5,0,4,0,1,1
25,15,40,39,358,7,2,0,0,3,0,2,0,0,0,0,0,0,0,5,2,3,0,0,1
12,0,12,19,172,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
78,6,84,80,567,10,0,0,5,4,0,1,1,0,0,1,0,0,0,11,0,11,0,0,1
180,194,374,394,4238,73,4,6,10,12,9,32,2,0,1,1,0,0,0,41,4,36,0,1,2
4066,4104,8170,11338,137956,3397,61,895,653,999,366,423,231,168,9,11,16,13,14,1150,136,912,0,102,1
56,64,120,130,1235,15,2,1,2,3,2,5,0,0,0,0,0,0,0,11,2,9,0,0,1
137,49,186,138,1029,26,0,0,5,18,1,2,0,0,0,0,0,0,0,4,2,2,0,0,1
87,15,102,141,1248,19,1,2,1,7,4,4,3,0,0,2,0,1,0,4,0,3,0,1,2
846,300,1146,1538,11850,206,10,7,30,103,18,38,19,0,1,1,2,5,10,101,26,69,1,5,1
64,29,93,159,1287,14,1,0,0,4,1,8,3,2,1,0,0,0,0,8,0,8,0,0,2
10,0,10,59,810,8,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
418,185,603,753,5450,115,4,4,9,60,14,24,3,0,1,0,2,0,0,42,10,27,1,4,1
120,20,140,187,1421,35,2,0,3,20,5,5,0,0,0,0,0,0,0,10,0,10,0,0,2
330,368,698,813,8238,120,14,11,23,24,12,36,1,0,0,0,1,0,0,78,9,64,1,4,0
84,11,95,130,1117,23,2,2,3,15,0,1,0,0,0,0,0,0,0,9,2,4,0,3,1
114,3,117,128,1067,9,0,0,2,7,0,0,0,0,0,0,0,0,0,5,0,4,0,1,1
12,8,20,21,197,3,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,2,0,1,1
12,0,12,20,119,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
523,1017,1540,1055,11142,216,22,30,26,59,16,63,20,5,2,1,2,8,2,94,12,74,0,8,2
48,25,73,100,1041,22,1,1,3,7,4,6,4,2,0,2,0,0,0,13,3,9,0,1,1
356,435,791,481,3316,49,0,3,1,35,3,7,0,0,0,0,0,0,0,19,4,12,0,3,1
460,165,625,851,5780,100,3,5,25,44,11,12,2,0,0,0,2,0,0,51,8,40,0,3,1
594,156,750,701,5064,115,1,10,7,83,11,3,0,0,0,0,0,0,0,36,2,23,0,11,1
13,6,19,52,820,16,2,0,2,3,4,5,0,0,0,0,0,0,0,9,0,9,0,0,2
276,183,459,438,3634,70,2,8,10,20,6,24,6,2,2,1,0,0,1,25,6,18,0,1,2
964,339,1303,1710,13710,299,13,32,31,177,20,26,6,0,0,2,1,0,3,140,13,119,1,7,1
383,117,500,348,2539,31,1,0,8,17,3,2,0,0,0,0,0,0,0,4,0,4,0,0,1
104,15,119,122,884,25,1,0,11,10,2,1,0,0,0,0,0,0,0,14,2,12,0,0,1
38,36,74,91,1016,9,1,0,1,1,2,4,5,4,0,0,0,1,0,9,0,9,0,0,2
38,39,77,136,1589,25,4,3,3,7,3,5,0,0,0,0,0,0,0,21,2,18,0,1,2
160,82,242,223,1325,38,1,0,5,26,5,1,0,0,0,0,0,0,0,12,6,3,0,3,1
9,0,9,11,59,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
398,536,934,628,7114,96,8,4,39,16,7,22,4,2,0,1,0,0,1,47,6,40,0,1,2
69,84,153,124,1246,14,2,3,0,5,0,4,1,0,0,0,0,1,0,15,3,12,0,0,2
7,0,7,11,114,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
